	index	user	waktu	Sentimen	lokasi	komentar	clean	tokenize	slankword	stopword	stemming
184	184	Rozi Planner	3 tahun lalu	Positif	air terjun teroan	Bagus tempatnya	Bagus tempatnya	['bagus', 'tempatnya']	['bagus', 'tempatnya']	['bagus', 'tempatnya']	['bagus', 'tempat']
185	185	GRACIA SALON	3 tahun lalu	Positif	air terjun teroan	Bagus oke	Bagus oke	['bagus', 'oke']	['bagus', 'oke']	['bagus', 'oke']	['bagus', 'oke']
186	186	Tania P Putri	3 tahun lalu	Negatif	air terjun teroan	Tak sebagus di foto	Tak sebagus di foto	['tak', 'sebagus', 'di', 'foto']	['tak', 'sebagus', 'di', 'foto']	['sebagus', 'foto']	['bagus', 'foto']
187	187	Farisa Geosany	3 tahun lalu	Negatif	air terjun teroan	Tdk seindah sprti gambarnya	Tdk seindah sprti gambarnya	['tdk', 'seindah', 'sprti', 'gambarnya']	['tidak', 'seindah', 'seperti', 'gambarnya']	['seindah', 'gambarnya']	['indah', 'gambar']
188	188	sri bimo adhi yudhono	3 tahun lalu	Positif	air terjun teroan	Bagusnya tdk terduga	Bagusnya tdk terduga	['bagusnya', 'tdk', 'terduga']	['bagusnya', 'tidak', 'terduga']	['bagusnya', 'terduga']	['bagus', 'duga']
189	189	Syaiful Bahri	3 tahun lalu	Positif	air terjun teroan	Suasanax Indah menyenangkan	Suasanax Indah menyenangkan	['suasanax', 'indah', 'menyenangkan']	['suasanax', 'indah', 'menyenangkan']	['suasanax', 'indah', 'menyenangkan']	['suasanax', 'indah', 'senang']
190	190	Abdullah assaydani	3 tahun lalu	Positif	air terjun teroan	Bagus sekali	Bagus sekali	['bagus', 'sekali']	['bagus', 'sekali']	['bagus']	['bagus']
191	191	Iskandar muda	3 tahun lalu	Positif	air terjun teroan	Tempatnya bagus	Tempatnya bagus	['tempatnya', 'bagus']	['tempatnya', 'bagus']	['tempatnya', 'bagus']	['tempat', 'bagus']
192	192	Hasuke BinZubair	3 tahun lalu	Positif	air terjun teroan	bagus dan dan minim biaya	bagus dan dan minim biaya	['bagus', 'dan', 'dan', 'minim', 'biaya']	['bagus', 'dan', 'dan', 'minim', 'biaya']	['bagus', 'minim', 'biaya']	['bagus', 'minim', 'biaya']
193	193	Zeen Dobrak	3 tahun lalu	Positif	air terjun teroan	Suasana yang bagus	Suasana yang bagus	['suasana', 'yang', 'bagus']	['suasana', 'yang', 'bagus']	['suasana', 'bagus']	['suasana', 'bagus']
194	194	Ari Basuki	3 tahun lalu	Positif	air terjun teroan	Keren	Keren	['keren']	['keren']	['keren']	['keren']
195	195	Apdete info Seluruh indonesia	3 tahun lalu	Positif	air terjun teroan	Bagus	Bagus	['bagus']	['bagus']	['bagus']	['bagus']
196	196	andrie rusdiansyah	3 tahun lalu	Positif	air terjun teroan	Bagus	Bagus	['bagus']	['bagus']	['bagus']	['bagus']
197	197	maryadi jantan	3 tahun lalu	Positif	air terjun teroan	Bagus	Bagus	['bagus']	['bagus']	['bagus']	['bagus']
198	198	Zeynutdin	3 tahun lalu	Positif	air terjun teroan	Bagus	Bagus	['bagus']	['bagus']	['bagus']	['bagus']
199	199	olivia a	3 tahun lalu	Positif	air terjun teroan	Beberapa tahun yang lalu ketika saya pertama kali mengunjungi tempat ini, itu bagus, semuanya dibuat oleh alam, tetapi hari ini saya melihat peningkatan besar yang menjadikannya lebih baik. Bahkan ada sebuah kafe! Selamat, Sampang!	Beberapa tahun yang lalu ketika saya pertama kali mengunjungi tempat ini itu bagus semuanya dibuat oleh alam tetapi hari ini saya melihat peningkatan besar yang menjadikannya lebih baik Bahkan ada sebuah kafe Selamat Sampang	['beberapa', 'tahun', 'yang', 'lalu', 'ketika', 'saya', 'pertama', 'kali', 'mengunjungi', 'tempat', 'ini', 'itu', 'bagus', 'semuanya', 'dibuat', 'oleh', 'alam', 'tetapi', 'hari', 'ini', 'saya', 'melihat', 'peningkatan', 'besar', 'yang', 'menjadikannya', 'lebih', 'baik', 'bahkan', 'ada', 'sebuah', 'kafe', 'selamat', 'sampang']	['beberapa', 'tahun', 'yang', 'lalu', 'ketika', 'saya', 'pertama', 'kali', 'mengunjungi', 'tempat', 'ini', 'itu', 'bagus', 'semuanya', 'dibuat', 'oleh', 'alam', 'tetapi', 'hari', 'ini', 'saya', 'melihat', 'peningkatan', 'besar', 'yang', 'menjadikannya', 'lebih', 'baik', 'bahkan', 'ada', 'sebuah', 'kafe', 'selamat', 'sampang']	['kali', 'mengunjungi', 'bagus', 'alam', 'peningkatan', 'menjadikannya', 'kafe', 'selamat', 'sampang']	['kali', 'unjung', 'bagus', 'alam', 'tingkat', 'jadi', 'kafe', 'selamat', 'sampang']
200	200	????:?????????? ???? ?? ??? ?? ???? ???????	3 tahun lalu	Positif	air terjun teroan	"Tampilan yang menarik dan gambar yang indah seolah-olah menggambar dari imajinasi
Tapi itu butuh perawatan, pembersihan, dan penataan
Untuk melengkapi pariwisata"	Tampilan yang menarik dan gambar yang indah seolaholah menggambar dari imajinasiTapi itu butuh perawatan pembersihan dan penataanUntuk melengkapi pariwisata	['tampilan', 'yang', 'menarik', 'dan', 'gambar', 'yang', 'indah', 'seolaholah', 'menggambar', 'dari', 'imajinasitapi', 'itu', 'butuh', 'perawatan', 'pembersihan', 'dan', 'penataanuntuk', 'melengkapi', 'pariwisata']	['tampilan', 'yang', 'menarik', 'dan', 'gambar', 'yang', 'indah', 'seolaholah', 'menggambar', 'dari', 'imajinasitapi', 'itu', 'butuh', 'perawatan', 'pembersihan', 'dan', 'penataanuntuk', 'melengkapi', 'pariwisata']	['tampilan', 'menarik', 'gambar', 'indah', 'seolaholah', 'menggambar', 'imajinasitapi', 'butuh', 'perawatan', 'pembersihan', 'penataanuntuk', 'melengkapi', 'pariwisata']	['tampil', 'tarik', 'gambar', 'indah', 'seolaholah', 'gambar', 'imajinasitapi', 'butuh', 'awat', 'bersih', 'penataanuntuk', 'lengkap', 'pariwisata']
201	201	Selvie Liao	3 tahun lalu	Positif	air terjun teroan	Bagus...	Bagus	['bagus']	['bagus']	['bagus']	['bagus']
202	202	Azura Azura	3 tahun lalu	Positif	air terjun teroan	Bagus	Bagus	['bagus']	['bagus']	['bagus']	['bagus']
203	203	N3Y	3 tahun lalu	Positif	air terjun teroan	Pulau Madura ternyata mempunyai obyek wisata air terjun juga, sy pikir Madura hanya mempunyai obyek wisata bukit kapur dan pantai saja. Ternyata Madura mempunyai obyek wisata yang menakjubkan salah satunya adalah air terjun Toroan. ?	Pulau Madura ternyata mempunyai obyek wisata air terjun juga sy pikir Madura hanya mempunyai obyek wisata bukit kapur dan pantai saja Ternyata Madura mempunyai obyek wisata yang menakjubkan salah satunya adalah air terjun Toroan	['pulau', 'madura', 'ternyata', 'mempunyai', 'obyek', 'wisata', 'air', 'terjun', 'juga', 'sy', 'pikir', 'madura', 'hanya', 'mempunyai', 'obyek', 'wisata', 'bukit', 'kapur', 'dan', 'pantai', 'saja', 'ternyata', 'madura', 'mempunyai', 'obyek', 'wisata', 'yang', 'menakjubkan', 'salah', 'satunya', 'adalah', 'air', 'terjun', 'toroan']	['pulau', 'madura', 'ternyata', 'mempunyai', 'obyek', 'wisata', 'air', 'terjun', 'juga', 'saya', 'pikir', 'madura', 'hanya', 'mempunyai', 'obyek', 'wisata', 'bukit', 'kapur', 'dan', 'pantai', 'saja', 'ternyata', 'madura', 'mempunyai', 'obyek', 'wisata', 'yang', 'menakjubkan', 'salah', 'satunya', 'adalah', 'air', 'terjun', 'toroan']	['pulau', 'madura', 'obyek', 'wisata', 'air', 'terjun', 'pikir', 'madura', 'obyek', 'wisata', 'bukit', 'kapur', 'pantai', 'madura', 'obyek', 'wisata', 'menakjubkan', 'salah', 'satunya', 'air', 'terjun', 'toroan']	['pulau', 'madura', 'obyek', 'wisata', 'air', 'terjun', 'pikir', 'madura', 'obyek', 'wisata', 'bukit', 'kapur', 'pantai', 'madura', 'obyek', 'wisata', 'takjub', 'salah', 'satu', 'air', 'terjun', 'toro']
204	204	Indra Susandi	3 tahun lalu	Positif	air terjun teroan	Dari Sumenep ke air terjun yang berada di utara ini benar2 butuh perjuangan. Melewati hutan2 sepi dan perbukitan serta jalannya banyak lubang. Sampai Ketapang sudah malan dan nginap di spbu karena satu2nya homestay sdh full. Pagi2 ke air ?	Dari Sumenep ke air terjun yang berada di utara ini benar butuh perjuangan Melewati hutan sepi dan perbukitan serta jalannya banyak lubang Sampai Ketapang sudah malan dan nginap di spbu karena satunya homestay sdh full Pagi ke air	['dari', 'sumenep', 'ke', 'air', 'terjun', 'yang', 'berada', 'di', 'utara', 'ini', 'benar', 'butuh', 'perjuangan', 'melewati', 'hutan', 'sepi', 'dan', 'perbukitan', 'serta', 'jalannya', 'banyak', 'lubang', 'sampai', 'ketapang', 'sudah', 'malan', 'dan', 'nginap', 'di', 'spbu', 'karena', 'satunya', 'homestay', 'sdh', 'full', 'pagi', 'ke', 'air']	['dari', 'sumenep', 'ke', 'air', 'terjun', 'yang', 'berada', 'di', 'utara', 'ini', 'benar', 'butuh', 'perjuangan', 'melewati', 'hutan', 'sepi', 'dan', 'perbukitan', 'serta', 'jalannya', 'banyak', 'lubang', 'sampai', 'ketapang', 'sudah', 'malan', 'dan', 'nginap', 'di', 'spbu', 'karena', 'satunya', 'homestay', 'sudah', 'full', 'pagi', 'ke', 'air']	['sumenep', 'air', 'terjun', 'utara', 'butuh', 'perjuangan', 'melewati', 'hutan', 'sepi', 'perbukitan', 'jalannya', 'lubang', 'ketapang', 'malan', 'nginap', 'spbu', 'satunya', 'homestay', 'full', 'pagi', 'air']	['sumenep', 'air', 'terjun', 'utara', 'butuh', 'juang', 'lewat', 'hutan', 'sepi', 'bukit', 'jalan', 'lubang', 'ketapang', 'malan', 'nginap', 'spbu', 'satu', 'homestay', 'full', 'pagi', 'air']
205	205	Atika Anggiasih	3 tahun lalu	Negatif	air terjun teroan	"Nice view. Tp ga sanggup naek turun tangganya sih.
Blm diexplore banget jg soalnya. Letaknya juga di jalur utara madura yg masih baru banget.
Masih sepi tempatnya."	Nice view Tp ga sanggup naek turun tangganya sihBlm diexplore banget jg soalnya Letaknya juga di jalur utara madura yg masih baru bangetMasih sepi tempatnya	['nice', 'view', 'tp', 'ga', 'sanggup', 'naek', 'turun', 'tangganya', 'sihblm', 'diexplore', 'banget', 'jg', 'soalnya', 'letaknya', 'juga', 'di', 'jalur', 'utara', 'madura', 'yg', 'masih', 'baru', 'bangetmasih', 'sepi', 'tempatnya']	['nice', 'view', 'tapi', 'enggak', 'sanggup', 'naik', 'turun', 'tangganya', 'sihblm', 'diexplore', 'banget', 'juga', 'soalnya', 'letaknya', 'juga', 'di', 'jalur', 'utara', 'madura', 'yang', 'masih', 'baru', 'bangetmasih', 'sepi', 'tempatnya']	['nice', 'view', 'sanggup', 'turun', 'tangganya', 'sihblm', 'diexplore', 'banget', 'letaknya', 'jalur', 'utara', 'madura', 'bangetmasih', 'sepi', 'tempatnya']	['nice', 'view', 'sanggup', 'turun', 'tangga', 'sihblm', 'diexplore', 'banget', 'letak', 'jalur', 'utara', 'madura', 'bangetmasih', 'sepi', 'tempat']
206	206	Masagus Imaduddin	3 tahun lalu	Positif	air terjun teroan	"Jarang-jarang ada air terjun di pinggir pantai nih.

Reccomend banget kesini, tapi emang harus sabar di perjalanan, agak jauh memang ?"	Jarangjarang ada air terjun di pinggir pantai nihReccomend banget kesini tapi emang harus sabar di perjalanan agak jauh memang	['jarangjarang', 'ada', 'air', 'terjun', 'di', 'pinggir', 'pantai', 'nihreccomend', 'banget', 'kesini', 'tapi', 'emang', 'harus', 'sabar', 'di', 'perjalanan', 'agak', 'jauh', 'memang']	['jarangjarang', 'ada', 'air', 'terjun', 'di', 'pinggir', 'pantai', 'nihreccomend', 'banget', 'kesini', 'tapi', 'memang', 'harus', 'sabar', 'di', 'perjalanan', 'agak', 'jauh', 'memang']	['jarangjarang', 'air', 'terjun', 'pinggir', 'pantai', 'nihreccomend', 'banget', 'kesini', 'sabar', 'perjalanan']	['jarangjarang', 'air', 'terjun', 'pinggir', 'pantai', 'nihreccomend', 'banget', 'kesini', 'sabar', 'jalan']
207	207	Moh. Ghufron Cholid	3 tahun lalu	Positif	air terjun teroan	Sangat menarik hati pemandangannya dan bikin liburan bersama keluarga semakin berkesan	Sangat menarik hati pemandangannya dan bikin liburan bersama keluarga semakin berkesan	['sangat', 'menarik', 'hati', 'pemandangannya', 'dan', 'bikin', 'liburan', 'bersama', 'keluarga', 'semakin', 'berkesan']	['sangat', 'menarik', 'hati', 'pemandangannya', 'dan', 'bikin', 'liburan', 'bersama', 'keluarga', 'semakin', 'berkesan']	['menarik', 'hati', 'pemandangannya', 'liburan', 'keluarga', 'berkesan']	['tarik', 'hati', 'pandang', 'libur', 'keluarga', 'kesan']
208	208	Zulfikar Renal	3 tahun lalu	Negatif	air terjun teroan	Tempatnya sudah berkembang, akan tetapi untuk masalah kebersihan di bebatuannya harap dijaga lebih baik lagi	Tempatnya sudah berkembang akan tetapi untuk masalah kebersihan di bebatuannya harap dijaga lebih baik lagi	['tempatnya', 'sudah', 'berkembang', 'akan', 'tetapi', 'untuk', 'masalah', 'kebersihan', 'di', 'bebatuannya', 'harap', 'dijaga', 'lebih', 'baik', 'lagi']	['tempatnya', 'sudah', 'berkembang', 'akan', 'tetapi', 'untuk', 'masalah', 'kebersihan', 'di', 'bebatuannya', 'harap', 'dijaga', 'lebih', 'baik', 'lagi']	['tempatnya', 'berkembang', 'kebersihan', 'bebatuannya', 'harap', 'dijaga']	['tempat', 'kembang', 'bersih', 'bebatuannya', 'harap', 'jaga']
209	209	Channelnya Bu Tini	3 tahun lalu	Positif	air terjun teroan	"Viewnya asyiik...
Air terjun tp langsung laut
Kebanyakan air terjun di gunung naah ini di laut ?"	Viewnya asyiikAir terjun tp langsung lautKebanyakan air terjun di gunung naah ini di laut	['viewnya', 'asyiikair', 'terjun', 'tp', 'langsung', 'lautkebanyakan', 'air', 'terjun', 'di', 'gunung', 'naah', 'ini', 'di', 'laut']	['viewnya', 'asyiikair', 'terjun', 'tapi', 'langsung', 'lautkebanyakan', 'air', 'terjun', 'di', 'gunung', 'naah', 'ini', 'di', 'laut']	['viewnya', 'asyiikair', 'terjun', 'langsung', 'lautkebanyakan', 'air', 'terjun', 'gunung', 'naah', 'laut']	['viewnya', 'asyiikair', 'terjun', 'langsung', 'lautkebanyakan', 'air', 'terjun', 'gunung', 'naah', 'laut']
210	210	Abdul Rachman	3 tahun lalu	Positif	air terjun teroan	Tempat yg nyaman buat menikmati sunset	Tempat yg nyaman buat menikmati sunset	['tempat', 'yg', 'nyaman', 'buat', 'menikmati', 'sunset']	['tempat', 'yang', 'nyaman', 'buat', 'menikmati', 'sunset']	['nyaman', 'menikmati', 'sunset']	['nyaman', 'nikmat', 'sunset']
211	211	shohibul ilmi	3 tahun lalu	Positif	air terjun teroan	"Sekarang parkir sudah luas...
Kalau kesini mending sore...senja sore sungguh pemandangan nya"	Sekarang parkir sudah luasKalau kesini mending soresenja sore sungguh pemandangan nya	['sekarang', 'parkir', 'sudah', 'luaskalau', 'kesini', 'mending', 'soresenja', 'sore', 'sungguh', 'pemandangan', 'nya']	['sekarang', 'parkir', 'sudah', 'luaskalau', 'kesini', 'mending', 'soresenja', 'sore', 'sungguh', 'pemandangan', 'nya']	['parkir', 'luaskalau', 'kesini', 'mending', 'soresenja', 'sore', 'sungguh', 'pemandangan']	['parkir', 'luaskalau', 'kesini', 'mending', 'soresenja', 'sore', 'sungguh', 'pandang']
212	212	Awik Baidawi	3 tahun lalu	Positif	air terjun teroan	Air terjun yang langsung jatuh ke pantai.	Air terjun yang langsung jatuh ke pantai	['air', 'terjun', 'yang', 'langsung', 'jatuh', 'ke', 'pantai']	['air', 'terjun', 'yang', 'langsung', 'jatuh', 'ke', 'pantai']	['air', 'terjun', 'langsung', 'jatuh', 'pantai']	['air', 'terjun', 'langsung', 'jatuh', 'pantai']
213	213	anton suharto	3 tahun lalu	Positif	air terjun teroan	Lokasi yg terjangkau dr area parkir n nyaman utk keluarga	Lokasi yg terjangkau dr area parkir n nyaman utk keluarga	['lokasi', 'yg', 'terjangkau', 'dr', 'area', 'parkir', 'n', 'nyaman', 'utk', 'keluarga']	['lokasi', 'yang', 'terjangkau', 'dari', 'area', 'parkir', 'n', 'nyaman', 'untuk', 'keluarga']	['lokasi', 'terjangkau', 'area', 'parkir', 'nyaman', 'keluarga']	['lokasi', 'jangkau', 'area', 'parkir', 'nyaman', 'keluarga']
214	214	Shoby Zayzavona	3 tahun lalu	Positif	air terjun teroan	Tanpa tiket masuk hanya bayar parkir, afa kulinernya juga	Tanpa tiket masuk hanya bayar parkir afa kulinernya juga	['tanpa', 'tiket', 'masuk', 'hanya', 'bayar', 'parkir', 'afa', 'kulinernya', 'juga']	['tanpa', 'tiket', 'masuk', 'hanya', 'bayar', 'parkir', 'afa', 'kulinernya', 'juga']	['tiket', 'masuk', 'bayar', 'parkir', 'afa', 'kulinernya']	['tiket', 'masuk', 'bayar', 'parkir', 'afa', 'kuliner']
215	215	Rahmat Syarief	3 tahun lalu	Positif	air terjun teroan	Wajib lihat tuk dukung destinasi wisata alam kota sampang, ayoo main kesana	Wajib lihat tuk dukung destinasi wisata alam kota sampang ayoo main kesana	['wajib', 'lihat', 'tuk', 'dukung', 'destinasi', 'wisata', 'alam', 'kota', 'sampang', 'ayoo', 'main', 'kesana']	['wajib', 'lihat', 'untuk', 'dukung', 'destinasi', 'wisata', 'alam', 'kota', 'sampang', 'ayo', 'main', 'kesana']	['wajib', 'lihat', 'dukung', 'destinasi', 'wisata', 'alam', 'kota', 'sampang', 'ayo', 'main', 'kesana']	['wajib', 'lihat', 'dukung', 'destinasi', 'wisata', 'alam', 'kota', 'sampang', 'ayo', 'main', 'kesana']
216	216	rusdi zulkarnain	3 tahun lalu	Positif	air terjun teroan	Air Terjun Toroan di pinggir laut utara Pulau Madura dekat kota kecil Ketapang Kabupaten Sampang. ?	Air Terjun Toroan di pinggir laut utara Pulau Madura dekat kota kecil Ketapang Kabupaten Sampang	['air', 'terjun', 'toroan', 'di', 'pinggir', 'laut', 'utara', 'pulau', 'madura', 'dekat', 'kota', 'kecil', 'ketapang', 'kabupaten', 'sampang']	['air', 'terjun', 'toroan', 'di', 'pinggir', 'laut', 'utara', 'pulau', 'madura', 'dekat', 'kota', 'kecil', 'ketapang', 'kabupaten', 'sampang']	['air', 'terjun', 'toroan', 'pinggir', 'laut', 'utara', 'pulau', 'madura', 'kota', 'ketapang', 'kabupaten', 'sampang']	['air', 'terjun', 'toro', 'pinggir', 'laut', 'utara', 'pulau', 'madura', 'kota', 'ketapang', 'kabupaten', 'sampang']
217	217	Lidia Indriyani	3 tahun lalu	Positif	air terjun teroan	Air Terjun Toroan berada dekat tepian jalan raya , sehingga akses untuk kesana mudah dan cepat kalau kita mau turun melihat secara langsung air terjunnya apalagi tepat berada ditepian pantai.Suasananya sangat nyaman dan terasa dingin karena ?	Air Terjun Toroan berada dekat tepian jalan raya sehingga akses untuk kesana mudah dan cepat kalau kita mau turun melihat secara langsung air terjunnya apalagi tepat berada ditepian pantaiSuasananya sangat nyaman dan terasa dingin karena	['air', 'terjun', 'toroan', 'berada', 'dekat', 'tepian', 'jalan', 'raya', 'sehingga', 'akses', 'untuk', 'kesana', 'mudah', 'dan', 'cepat', 'kalau', 'kita', 'mau', 'turun', 'melihat', 'secara', 'langsung', 'air', 'terjunnya', 'apalagi', 'tepat', 'berada', 'ditepian', 'pantaisuasananya', 'sangat', 'nyaman', 'dan', 'terasa', 'dingin', 'karena']	['air', 'terjun', 'toroan', 'berada', 'dekat', 'tepian', 'jalan', 'raya', 'sehingga', 'akses', 'untuk', 'kesana', 'mudah', 'dan', 'cepat', 'kalau', 'kita', 'mau', 'turun', 'melihat', 'secara', 'langsung', 'air', 'terjunnya', 'apalagi', 'tepat', 'berada', 'ditepian', 'pantaisuasananya', 'sangat', 'nyaman', 'dan', 'terasa', 'dingin', 'karena']	['air', 'terjun', 'toroan', 'tepian', 'jalan', 'raya', 'akses', 'kesana', 'mudah', 'cepat', 'turun', 'langsung', 'air', 'terjunnya', 'ditepian', 'pantaisuasananya', 'nyaman', 'dingin']	['air', 'terjun', 'toro', 'tepi', 'jalan', 'raya', 'akses', 'kesana', 'mudah', 'cepat', 'turun', 'langsung', 'air', 'terjun', 'tepi', 'pantaisuasananya', 'nyaman', 'dingin']
218	218	Nardi Yanto (Raditya)	3 tahun lalu	Positif	air terjun teroan	Lokasinya berada di pinggir jalan, gampang dicari. Free,ga ada HTM, cm bayar parkir aja. Enak buat sekedar berfoto dan santaiýan sekeluarga. Lengkap ada warung lesehan, musholla dan parkiran.	Lokasinya berada di pinggir jalan gampang dicari Freega ada HTM cm bayar parkir aja Enak buat sekedar berfoto dan santaian sekeluarga Lengkap ada warung lesehan musholla dan parkiran	['lokasinya', 'berada', 'di', 'pinggir', 'jalan', 'gampang', 'dicari', 'freega', 'ada', 'htm', 'cm', 'bayar', 'parkir', 'aja', 'enak', 'buat', 'sekedar', 'berfoto', 'dan', 'santaian', 'sekeluarga', 'lengkap', 'ada', 'warung', 'lesehan', 'musholla', 'dan', 'parkiran']	['lokasinya', 'berada', 'di', 'pinggir', 'jalan', 'gampang', 'dicari', 'freega', 'ada', 'htm', 'cuma', 'bayar', 'parkir', 'saja', 'enak', 'buat', 'sekedar', 'berfoto', 'dan', 'santaian', 'sekeluarga', 'lengkap', 'ada', 'warung', 'lesehan', 'musholla', 'dan', 'parkiran']	['lokasinya', 'pinggir', 'jalan', 'gampang', 'dicari', 'freega', 'htm', 'bayar', 'parkir', 'enak', 'sekedar', 'berfoto', 'santaian', 'sekeluarga', 'lengkap', 'warung', 'lesehan', 'musholla', 'parkiran']	['lokasi', 'pinggir', 'jalan', 'gampang', 'cari', 'freega', 'htm', 'bayar', 'parkir', 'enak', 'dar', 'foto', 'santai', 'keluarga', 'lengkap', 'warung', 'leseh', 'musholla', 'parkir']
219	219	Dear Busri	3 tahun lalu	Positif	air terjun teroan	wisata air terjun yang letaknya di samping jl. Ketapang-Sampang	wisata air terjun yang letaknya di samping jl KetapangSampang	['wisata', 'air', 'terjun', 'yang', 'letaknya', 'di', 'samping', 'jl', 'ketapangsampang']	['wisata', 'air', 'terjun', 'yang', 'letaknya', 'di', 'samping', 'jl', 'ketapangsampang']	['wisata', 'air', 'terjun', 'letaknya', 'samping', 'jl', 'ketapangsampang']	['wisata', 'air', 'terjun', 'letak', 'samping', 'jl', 'ketapangsampang']
220	220	Kholid Ibrahim	3 tahun lalu	Positif	air terjun teroan	Destinasi wisata air terjun yg langsung ke laut, lokasi sangat menarik dan recomended banget bersama keluarga tercinta	Destinasi wisata air terjun yg langsung ke laut lokasi sangat menarik dan recomended banget bersama keluarga tercinta	['destinasi', 'wisata', 'air', 'terjun', 'yg', 'langsung', 'ke', 'laut', 'lokasi', 'sangat', 'menarik', 'dan', 'recomended', 'banget', 'bersama', 'keluarga', 'tercinta']	['destinasi', 'wisata', 'air', 'terjun', 'yang', 'langsung', 'ke', 'laut', 'lokasi', 'sangat', 'menarik', 'dan', 'recomended', 'banget', 'bersama', 'keluarga', 'tercinta']	['destinasi', 'wisata', 'air', 'terjun', 'langsung', 'laut', 'lokasi', 'menarik', 'recomended', 'banget', 'keluarga', 'tercinta']	['destinasi', 'wisata', 'air', 'terjun', 'langsung', 'laut', 'lokasi', 'tarik', 'recomended', 'banget', 'keluarga', 'cinta']
221	221	Danita Gan	3 tahun lalu	Positif	air terjun teroan	Lumayan habis ke bebek sinjai, jalan2 di sini	Lumayan habis ke bebek sinjai jalan di sini	['lumayan', 'habis', 'ke', 'bebek', 'sinjai', 'jalan', 'di', 'sini']	['lumayan', 'habis', 'ke', 'bebek', 'sinjai', 'jalan', 'di', 'sini']	['lumayan', 'habis', 'bebek', 'sinjai', 'jalan']	['lumayan', 'habis', 'bebek', 'sinjai', 'jalan']
222	222	Ahmad Mahrus	3 tahun lalu	Positif	air terjun teroan	Ada kenangan yang tersimpan disana	Ada kenangan yang tersimpan disana	['ada', 'kenangan', 'yang', 'tersimpan', 'disana']	['ada', 'kenangan', 'yang', 'tersimpan', 'disana']	['kenangan', 'tersimpan', 'disana']	['kenang', 'simpan', 'sana']
223	223	Wida Yanti	3 tahun lalu	Positif	air terjun teroan	Airterjun di tepi laut...suatu yang jarang ditemui. Tempat yang mudah dijangkau, karena tidak jauh dari jalan utama. ?	Airterjun di tepi lautsuatu yang jarang ditemui Tempat yang mudah dijangkau karena tidak jauh dari jalan utama	['airterjun', 'di', 'tepi', 'lautsuatu', 'yang', 'jarang', 'ditemui', 'tempat', 'yang', 'mudah', 'dijangkau', 'karena', 'tidak', 'jauh', 'dari', 'jalan', 'utama']	['airterjun', 'di', 'tepi', 'lautsuatu', 'yang', 'jarang', 'ditemui', 'tempat', 'yang', 'mudah', 'dijangkau', 'karena', 'tidak', 'jauh', 'dari', 'jalan', 'utama']	['airterjun', 'tepi', 'lautsuatu', 'jarang', 'ditemui', 'mudah', 'dijangkau', 'jalan', 'utama']	['airterjun', 'tepi', 'lautsuatu', 'jarang', 'temu', 'mudah', 'jangkau', 'jalan', 'utama']
224	224	John Sakera	3 tahun lalu	Positif	air terjun teroan	Tetep suka banget dengan tempat ini	Tetep suka banget dengan tempat ini	['tetep', 'suka', 'banget', 'dengan', 'tempat', 'ini']	['tetap', 'suka', 'banget', 'dengan', 'tempat', 'ini']	['suka', 'banget']	['suka', 'banget']
225	225	Rizqi Puji	3 tahun lalu	Positif	air terjun teroan	air terjunnya kecil warna hijau, kalau sunsetnya top banget si	air terjunnya kecil warna hijau kalau sunsetnya top banget si	['air', 'terjunnya', 'kecil', 'warna', 'hijau', 'kalau', 'sunsetnya', 'top', 'banget', 'si']	['air', 'terjunnya', 'kecil', 'warna', 'hijau', 'kalau', 'sunsetnya', 'top', 'banget', 'sih']	['air', 'terjunnya', 'warna', 'hijau', 'sunsetnya', 'top', 'banget']	['air', 'terjun', 'warna', 'hijau', 'sunsetnya', 'top', 'banget']
226	226	Hari yadi	3 tahun lalu	Positif	air terjun teroan	Air Terjun Toroan  di Desa Ketapang, Kecamatan Ketapang, Kabupaten Sampang dekat Jl. Raya dan pantai utara Sampang. Parkir motor dan mobil luas	Air Terjun Toroan di Desa Ketapang Kecamatan Ketapang Kabupaten Sampang dekat Jl Raya dan pantai utara Sampang Parkir motor dan mobil luas	['air', 'terjun', 'toroan', 'di', 'desa', 'ketapang', 'kecamatan', 'ketapang', 'kabupaten', 'sampang', 'dekat', 'jl', 'raya', 'dan', 'pantai', 'utara', 'sampang', 'parkir', 'motor', 'dan', 'mobil', 'luas']	['air', 'terjun', 'toroan', 'di', 'desa', 'ketapang', 'kecamatan', 'ketapang', 'kabupaten', 'sampang', 'dekat', 'jl', 'raya', 'dan', 'pantai', 'utara', 'sampang', 'parkir', 'motor', 'dan', 'mobil', 'luas']	['air', 'terjun', 'toroan', 'desa', 'ketapang', 'kecamatan', 'ketapang', 'kabupaten', 'sampang', 'jl', 'raya', 'pantai', 'utara', 'sampang', 'parkir', 'motor', 'mobil', 'luas']	['air', 'terjun', 'toro', 'desa', 'ketapang', 'camat', 'ketapang', 'kabupaten', 'sampang', 'jl', 'raya', 'pantai', 'utara', 'sampang', 'parkir', 'motor', 'mobil', 'luas']
