lokasi;Sentimen;komentar;clean;tokenize;normalize;stopword;stemming
Air terjun toroan;Negatif;"Tempat foto""nya kurang dan kotor lagi banyak sampah""nya dan sampahnya di bakar, di dekat jalan evaluasi...";Tempat foto nya kurang dan kotor lagi banyak sampah nya dan sampahnya di bakar di dekat jalan evaluasi;['tempat', 'foto', 'nya', 'kurang', 'dan', 'kotor', 'lagi', 'banyak', 'sampah', 'nya', 'dan', 'sampahnya', 'di', 'bakar', 'di', 'dekat', 'jalan', 'evaluasi'];['tempat', 'foto', 'nya', 'kurang', 'dan', 'kotor', 'lagi', 'banyak', 'sampah', 'nya', 'dan', 'sampahnya', 'di', 'bakar', 'di', 'dekat', 'jalan', 'evaluasi'];['foto', 'kotor', 'sampah', 'sampahnya', 'bakar', 'jalan', 'evaluasi'];['foto', 'kotor', 'sampah', 'sampah', 'bakar', 'jalan', 'evaluasi']
Air terjun toroan;Negatif;Kotor, kebersihan area tidak dijaga;Kotor kebersihan area tidak dijaga;['kotor', 'kebersihan', 'area', 'tidak', 'dijaga'];['kotor', 'kebersihan', 'area', 'tidak', 'dijaga'];['kotor', 'kebersihan', 'area', 'dijaga'];['kotor', 'bersih', 'area', 'jaga']
Air terjun toroan;Negatif;Parkirannya kemahalan;Parkirannya kemahalan;['parkirannya', 'kemahalan'];['parkirannya', 'kemahalan'];['parkirannya', 'kemahalan'];['parkir', 'mahal']
Air terjun toroan;Negatif;sangat mengecewakan, semuanya tidak diperlakukan dengan baik. Banyak sampah di mana-mana di lantai, airnya berwarna coklat dan kotor. saya tidak mengerti mengapa peringkatnya 4 tho 😐. sangat berbeda dengan gambar di google, di mana airnya …;sangat mengecewakan semuanya tidak diperlakukan dengan baik Banyak sampah di mana mana di lantai airnya berwarna coklat dan kotor saya tidak mengerti mengapa peringkatnya tho sangat berbeda dengan gambar di google di mana airnya;['sangat', 'mengecewakan', 'semuanya', 'tidak', 'diperlakukan', 'dengan', 'baik', 'banyak', 'sampah', 'di', 'mana', 'mana', 'di', 'lantai', 'airnya', 'berwarna', 'coklat', 'dan', 'kotor', 'saya', 'tidak', 'mengerti', 'mengapa', 'peringkatnya', 'tho', 'sangat', 'berbeda', 'dengan', 'gambar', 'di', 'google', 'di', 'mana', 'airnya'];['sangat', 'mengecewakan', 'semuanya', 'tidak', 'diperlakukan', 'dengan', 'baik', 'banyak', 'sampah', 'di', 'mana', 'mana', 'di', 'lantai', 'airnya', 'berwarna', 'coklat', 'dan', 'kotor', 'saya', 'tidak', 'mengerti', 'mengapa', 'peringkatnya', 'tho', 'sangat', 'berbeda', 'dengan', 'gambar', 'di', 'google', 'di', 'mana', 'airnya'];['mengecewakan', 'diperlakukan', 'sampah', 'lantai', 'airnya', 'berwarna', 'coklat', 'kotor', 'mengerti', 'peringkatnya', 'tho', 'berbeda', 'gambar', 'google', 'airnya'];['kecewa', 'laku', 'sampah', 'lantai', 'air', 'warna', 'coklat', 'kotor', 'erti', 'peringkat', 'tho', 'beda', 'gambar', 'google', 'air']
bukit tinggi daramista;Positif;Wisata bukit tinggi daramiata tempat yang cocok bagi penikmat wisata alam dengan keindahan pemandangan alamnya;Wisata bukit tinggi daramiata tempat yang cocok bagi penikmat wisata alam dengan keindahan pemandangan alamnya;['wisata', 'bukit', 'tinggi', 'daramiata', 'tempat', 'yang', 'cocok', 'bagi', 'penikmat', 'wisata', 'alam', 'dengan', 'keindahan', 'pemandangan', 'alamnya'];['wisata', 'bukit', 'tinggi', 'daramiata', 'tempat', 'yang', 'cocok', 'bagi', 'penikmat', 'wisata', 'alam', 'dengan', 'keindahan', 'pemandangan', 'alamnya'];['wisata', 'bukit', 'daramiata', 'cocok', 'penikmat', 'wisata', 'alam', 'keindahan', 'pemandangan', 'alamnya'];['wisata', 'bukit', 'daramiata', 'cocok', 'nikmat', 'wisata', 'alam', 'indah', 'pandang', 'alam']
bukit tinggi daramista;Positif;Alhamdulillah jualan saya selama ini berjalan dengan lancar, dan semuga kedepanya makin lancar, amin;Alhamdulillah jualan saya selama ini berjalan dengan lancar dan semuga kedepanya makin lancar amin;['alhamdulillah', 'jualan', 'saya', 'selama', 'ini', 'berjalan', 'dengan', 'lancar', 'dan', 'semuga', 'kedepanya', 'makin', 'lancar', 'amin'];['alhamdulillah', 'jualan', 'saya', 'selama', 'ini', 'berjalan', 'dengan', 'lancar', 'dan', 'semuga', 'kedepanya', 'makin', 'lancar', 'amin'];['alhamdulillah', 'jualan', 'berjalan', 'lancar', 'semuga', 'kedepanya', 'lancar', 'amin'];['alhamdulillah', 'jual', 'jalan', 'lancar', 'semuga', 'depa', 'lancar', 'amin']
bukit tinggi daramista;Negatif;Tidak terawat;Tidak terawat;['tidak', 'terawat'];['tidak', 'terawat'];['terawat'];['awat']
bukit tinggi daramista;Positif;Mski smpt hujan wkt dtg,tp ttp setia nunggu hujan smp reda.dan itu smua tdk mengurangi keindahan yg disuguhkan di tempat ini mski dlm keadaan basah kondisix???? …;Mski smpt hujan wkt dtg tp ttp setia nunggu hujan smp reda dan itu smua tdk mengurangi keindahan yg disuguhkan di tempat ini mski dlm keadaan basah kondisix;['mski', 'smpt', 'hujan', 'wkt', 'dtg', 'tp', 'ttp', 'setia', 'nunggu', 'hujan', 'smp', 'reda', 'dan', 'itu', 'smua', 'tdk', 'mengurangi', 'keindahan', 'yg', 'disuguhkan', 'di', 'tempat', 'ini', 'mski', 'dlm', 'keadaan', 'basah', 'kondisix'];['mski', 'sempat', 'hujan', 'waktu', 'datang', 'tapi', 'tetap', 'setia', 'menunggu', 'hujan', 'sampai', 'reda', 'dan', 'itu', 'semua', 'tidak', 'mengurangi', 'keindahan', 'yang', 'disuguhkan', 'di', 'tempat', 'ini', 'mski', 'dalam', 'keadaan', 'basah', 'kondisix'];['mski', 'hujan', 'setia', 'menunggu', 'hujan', 'reda', 'mengurangi', 'keindahan', 'disuguhkan', 'mski', 'basah', 'kondisix'];['mski', 'hujan', 'setia', 'tunggu', 'hujan', 'reda', 'kurang', 'indah', 'suguh', 'mski', 'basah', 'kondisix']
bukit tinggi daramista;Positif;Bagus sekali tempatnya. Semoga menjadi wisata berkah tur mashlahah.;Bagus sekali tempatnya Semoga menjadi wisata berkah tur mashlahah;['bagus', 'sekali', 'tempatnya', 'semoga', 'menjadi', 'wisata', 'berkah', 'tur', 'mashlahah'];['bagus', 'sekali', 'tempatnya', 'semoga', 'menjadi', 'wisata', 'berkah', 'tur', 'mashlahah'];['bagus', 'tempatnya', 'semoga', 'wisata', 'berkah', 'tur', 'mashlahah'];['bagus', 'tempat', 'moga', 'wisata', 'berkah', 'tur', 'mashlahah']
bukit tinggi daramista;Negatif;Jelek tidak terawat. Toiletnya jorok dan bau. Jalan akses menuju lokosi sempit. Tolong lebih di perhatikan lagi untuk tanamannya di siram. Sudah kering dan tidak terawat;Jelek tidak terawat Toiletnya jorok dan bau Jalan akses menuju lokosi sempit Tolong lebih di perhatikan lagi untuk tanamannya di siram Sudah kering dan tidak terawat;['jelek', 'tidak', 'terawat', 'toiletnya', 'jorok', 'dan', 'bau', 'jalan', 'akses', 'menuju', 'lokosi', 'sempit', 'tolong', 'lebih', 'di', 'perhatikan', 'lagi', 'untuk', 'tanamannya', 'di', 'siram', 'sudah', 'kering', 'dan', 'tidak', 'terawat'];['jelek', 'tidak', 'terawat', 'toiletnya', 'jorok', 'dan', 'bau', 'jalan', 'akses', 'menuju', 'lokosi', 'sempit', 'tolong', 'lebih', 'di', 'perhatikan', 'lagi', 'untuk', 'tanamannya', 'di', 'siram', 'sudah', 'kering', 'dan', 'tidak', 'terawat'];['jelek', 'terawat', 'toiletnya', 'jorok', 'bau', 'jalan', 'akses', 'lokosi', 'sempit', 'tolong', 'perhatikan', 'tanamannya', 'siram', 'kering', 'terawat'];['jelek', 'awat', 'toilet', 'jorok', 'bau', 'jalan', 'akses', 'lokos', 'sempit', 'tolong', 'perhati', 'tanam', 'siram', 'kering', 'awat']
bukit tinggi daramista;Negatif;tiket masuk : 15K kondisi kurang terawat. entah karena apa. seakan sudah tak lagi diperhatikan keadaannya.;tiket masuk K kondisi kurang terawat entah karena apa seakan sudah tak lagi diperhatikan keadaannya;['tiket', 'masuk', 'k', 'kondisi', 'kurang', 'terawat', 'entah', 'karena', 'apa', 'seakan', 'sudah', 'tak', 'lagi', 'diperhatikan', 'keadaannya'];['tiket', 'masuk', 'ke', 'kondisi', 'kurang', 'terawat', 'entah', 'karena', 'apa', 'seakan', 'sudah', 'tak', 'lagi', 'diperhatikan', 'keadaannya'];['tiket', 'masuk', 'kondisi', 'terawat', 'seakan', 'diperhatikan', 'keadaannya'];['tiket', 'masuk', 'kondisi', 'awat', 'akan', 'perhati', 'ada']
bukit tinggi daramista;Positif;Walau naiknya bikin keringat meleleh tapi spot fotonya oke banget;Walau naiknya bikin keringat meleleh tapi spot fotonya oke banget;['walau', 'naiknya', 'bikin', 'keringat', 'meleleh', 'tapi', 'spot', 'fotonya', 'oke', 'banget'];['walau', 'naiknya', 'bikin', 'keringat', 'meleleh', 'tapi', 'spot', 'fotonya', 'oke', 'banget'];['naiknya', 'keringat', 'meleleh', 'spot', 'fotonya', 'oke', 'banget'];['naik', 'keringat', 'leleh', 'spot', 'foto', 'oke', 'banget']
bukit tinggi daramista;Positif;"Disuguhi pemandangan yang indah diatas bukit, cuma managemen pariwisatanya kurang bagus, disarankan bawa makanan minuman dari rumah.
Parkir 5k. Tiket masuk 15k.";Disuguhi pemandangan yang indah diatas bukit cuma managemen pariwisatanya kurang bagus disarankan bawa makanan minuman dari rumah Parkir k Tiket masuk k;['disuguhi', 'pemandangan', 'yang', 'indah', 'diatas', 'bukit', 'cuma', 'managemen', 'pariwisatanya', 'kurang', 'bagus', 'disarankan', 'bawa', 'makanan', 'minuman', 'dari', 'rumah', 'parkir', 'k', 'tiket', 'masuk', 'k'];['disuguhi', 'pemandangan', 'yang', 'indah', 'diatas', 'bukit', 'cuma', 'managemen', 'pariwisatanya', 'kurang', 'bagus', 'disarankan', 'bawa', 'makanan', 'minuman', 'dari', 'rumah', 'parkir', 'ke', 'tiket', 'masuk', 'ke'];['disuguhi', 'pemandangan', 'indah', 'diatas', 'bukit', 'managemen', 'pariwisatanya', 'bagus', 'disarankan', 'bawa', 'makanan', 'minuman', 'rumah', 'parkir', 'tiket', 'masuk'];['suguh', 'pandang', 'indah', 'atas', 'bukit', 'managemen', 'pariwisata', 'bagus', 'saran', 'bawa', 'makan', 'minum', 'rumah', 'parkir', 'tiket', 'masuk']
bukit tinggi daramista;Positif;Tempatnya enak, sejuk, jalan aksesnya sudah OK;Tempatnya enak sejuk jalan aksesnya sudah OK;['tempatnya', 'enak', 'sejuk', 'jalan', 'aksesnya', 'sudah', 'ok'];['tempatnya', 'enak', 'sejuk', 'jalan', 'aksesnya', 'sudah', 'ok'];['tempatnya', 'enak', 'sejuk', 'jalan', 'aksesnya', 'ok'];['tempat', 'enak', 'sejuk', 'jalan', 'akses', 'ok']
bukit tinggi daramista;Positif;Inilah desa saya dan wisata saya di bukit tinggi daramista,  mantap guys;Inilah desa saya dan wisata saya di bukit tinggi daramista mantap guys;['inilah', 'desa', 'saya', 'dan', 'wisata', 'saya', 'di', 'bukit', 'tinggi', 'daramista', 'mantap', 'guys'];['inilah', 'desa', 'saya', 'dan', 'wisata', 'saya', 'di', 'bukit', 'tinggi', 'daramista', 'mantap', 'guys'];['desa', 'wisata', 'bukit', 'daramista', 'mantap', 'guys'];['desa', 'wisata', 'bukit', 'daramista', 'mantap', 'guys']
bukit tinggi daramista;Netral;buat rekan yang berkunjung ke wisata boekit tinggi barangkali ada yang butuh genteng karang penang hubungi langsung wa saya;buat rekan yang berkunjung ke wisata boekit tinggi barangkali ada yang butuh genteng karang penang hubungi langsung wa saya;['buat', 'rekan', 'yang', 'berkunjung', 'ke', 'wisata', 'boekit', 'tinggi', 'barangkali', 'ada', 'yang', 'butuh', 'genteng', 'karang', 'penang', 'hubungi', 'langsung', 'wa', 'saya'];['buat', 'rekan', 'yang', 'berkunjung', 'ke', 'wisata', 'boekit', 'tinggi', 'barangkali', 'ada', 'yang', 'butuh', 'genteng', 'karang', 'penang', 'hubungi', 'langsung', 'wa', 'saya'];['rekan', 'berkunjung', 'wisata', 'boekit', 'barangkali', 'butuh', 'genteng', 'karang', 'penang', 'hubungi', 'langsung', 'wa'];['rekan', 'kunjung', 'wisata', 'boekit', 'barangkali', 'butuh', 'genteng', 'karang', 'nang', 'hubung', 'langsung', 'wa']
bukit tinggi daramista;Positif;Udaranya sejuk, tempatnya bersih, bagus untuk foto-foto, harga terjangkau, akses jalannya juga gampang;Udaranya sejuk tempatnya bersih bagus untuk foto foto harga terjangkau akses jalannya juga gampang;['udaranya', 'sejuk', 'tempatnya', 'bersih', 'bagus', 'untuk', 'foto', 'foto', 'harga', 'terjangkau', 'akses', 'jalannya', 'juga', 'gampang'];['udaranya', 'sejuk', 'tempatnya', 'bersih', 'bagus', 'untuk', 'foto', 'foto', 'harga', 'terjangkau', 'akses', 'jalannya', 'juga', 'gampang'];['udaranya', 'sejuk', 'tempatnya', 'bersih', 'bagus', 'foto', 'foto', 'harga', 'terjangkau', 'akses', 'jalannya', 'gampang'];['udara', 'sejuk', 'tempat', 'bersih', 'bagus', 'foto', 'foto', 'harga', 'jangkau', 'akses', 'jalan', 'gampang']
bukit tinggi daramista;Positif;Tempatnya nyaman, indah dan recomen lah pokoknya, asli ga nyesel dateng kesitu;Tempatnya nyaman indah dan recomen lah pokoknya asli ga nyesel dateng kesitu;['tempatnya', 'nyaman', 'indah', 'dan', 'recomen', 'lah', 'pokoknya', 'asli', 'ga', 'nyesel', 'dateng', 'kesitu'];['tempatnya', 'nyaman', 'indah', 'dan', 'recomen', 'lah', 'pokoknya', 'asli', 'enggak', 'menyesal', 'datang', 'kesitu'];['tempatnya', 'nyaman', 'indah', 'recomen', 'pokoknya', 'asli', 'menyesal', 'kesitu'];['tempat', 'nyaman', 'indah', 'recomen', 'pokok', 'asli', 'sesal', 'kesitu']
bukit tinggi daramista;Positif;"Tiket lumayan murah
Ada beberapa tempat swafoto yang bagus.
Siapkan tenaga extra jika membawa anak kecil. …";Tiket lumayan murah Ada beberapa tempat swafoto yang bagus Siapkan tenaga extra jika membawa anak kecil;['tiket', 'lumayan', 'murah', 'ada', 'beberapa', 'tempat', 'swafoto', 'yang', 'bagus', 'siapkan', 'tenaga', 'extra', 'jika', 'membawa', 'anak', 'kecil'];['tiket', 'lumayan', 'murah', 'ada', 'beberapa', 'tempat', 'swafoto', 'yang', 'bagus', 'siapkan', 'tenaga', 'extra', 'jika', 'membawa', 'anak', 'kecil'];['tiket', 'lumayan', 'murah', 'swafoto', 'bagus', 'siapkan', 'tenaga', 'extra', 'membawa', 'anak'];['tiket', 'lumayan', 'murah', 'swafoto', 'bagus', 'siap', 'tenaga', 'extra', 'bawa', 'anak']
bukit tinggi daramista;Positif;"Pemandangan bagus tapi agak terhalang pohon2 yang besar di depannya.
Harga tiket cukup mahal, dan masih terkena biaya parkir.
Wahana dan tempat foto sudah bagus dan bervariasi.
Overall bagus... Mantap...";Pemandangan bagus tapi agak terhalang pohon yang besar di depannya Harga tiket cukup mahal dan masih terkena biaya parkir Wahana dan tempat foto sudah bagus dan bervariasi Overall bagus Mantap;['pemandangan', 'bagus', 'tapi', 'agak', 'terhalang', 'pohon', 'yang', 'besar', 'di', 'depannya', 'harga', 'tiket', 'cukup', 'mahal', 'dan', 'masih', 'terkena', 'biaya', 'parkir', 'wahana', 'dan', 'tempat', 'foto', 'sudah', 'bagus', 'dan', 'bervariasi', 'overall', 'bagus', 'mantap'];['pemandangan', 'bagus', 'tapi', 'agak', 'terhalang', 'pohon', 'yang', 'besar', 'di', 'depannya', 'harga', 'tiket', 'cukup', 'mahal', 'dan', 'masih', 'terkena', 'biaya', 'parkir', 'wahana', 'dan', 'tempat', 'foto', 'sudah', 'bagus', 'dan', 'bervariasi', 'overall', 'bagus', 'mantap'];['pemandangan', 'bagus', 'terhalang', 'pohon', 'depannya', 'harga', 'tiket', 'mahal', 'terkena', 'biaya', 'parkir', 'wahana', 'foto', 'bagus', 'bervariasi', 'overall', 'bagus', 'mantap'];['pandang', 'bagus', 'halang', 'pohon', 'depan', 'harga', 'tiket', 'mahal', 'kena', 'biaya', 'parkir', 'wahana', 'foto', 'bagus', 'variasi', 'overall', 'bagus', 'mantap']
bukit tinggi daramista;Positif;Sepertinya masih dalam proses pengembangan, tapi sudah sangat representatif buat foto-foto. Banyak spot unik dan menarik.;Sepertinya masih dalam proses pengembangan tapi sudah sangat representatif buat foto foto Banyak spot unik dan menarik;['sepertinya', 'masih', 'dalam', 'proses', 'pengembangan', 'tapi', 'sudah', 'sangat', 'representatif', 'buat', 'foto', 'foto', 'banyak', 'spot', 'unik', 'dan', 'menarik'];['sepertinya', 'masih', 'dalam', 'proses', 'pengembangan', 'tapi', 'sudah', 'sangat', 'representatif', 'buat', 'foto', 'foto', 'banyak', 'spot', 'unik', 'dan', 'menarik'];['proses', 'pengembangan', 'representatif', 'foto', 'foto', 'spot', 'unik', 'menarik'];['proses', 'kembang', 'representatif', 'foto', 'foto', 'spot', 'unik', 'tarik']
bukit tinggi daramista;Negatif;"Tiket nya kemahalan 15 ribu walaupun bnyak gk ad bonos nya
Jaga loket nya gk ramah
Nyesel …";Tiket nya kemahalan ribu walaupun bnyak gk ad bonos nya Jaga loket nya gk ramah Nyesel;['tiket', 'nya', 'kemahalan', 'ribu', 'walaupun', 'bnyak', 'gk', 'ad', 'bonos', 'nya', 'jaga', 'loket', 'nya', 'gk', 'ramah', 'nyesel'];['tiket', 'nya', 'kemahalan', 'ribu', 'walaupun', 'banyak', 'enggak', 'ada', 'bonos', 'nya', 'jaga', 'loket', 'nya', 'enggak', 'ramah', 'menyesal'];['tiket', 'kemahalan', 'ribu', 'bonos', 'jaga', 'loket', 'ramah', 'menyesal'];['tiket', 'mahal', 'ribu', 'bonos', 'jaga', 'loket', 'ramah', 'sesal']
bukit tinggi daramista;Positif;tempat wisata alam areal perbukitan, bisa melihat keindahan kota dimalam hari;tempat wisata alam areal perbukitan bisa melihat keindahan kota dimalam hari;['tempat', 'wisata', 'alam', 'areal', 'perbukitan', 'bisa', 'melihat', 'keindahan', 'kota', 'dimalam', 'hari'];['tempat', 'wisata', 'alam', 'areal', 'perbukitan', 'bisa', 'melihat', 'keindahan', 'kota', 'dimalam', 'hari'];['wisata', 'alam', 'areal', 'perbukitan', 'keindahan', 'kota', 'dimalam'];['wisata', 'alam', 'areal', 'bukit', 'indah', 'kota', 'malam']
bukit tinggi daramista;Positif;Alasan bagaimananya saya tidak tau ...Tetapi saya sangat menyukainya . Dan untuk lokasi sangat juga melelahkan karna terbilang jauh. Namun tempatnya tidak usah di ragukan lagi;Alasan bagaimananya saya tidak tau Tetapi saya sangat menyukainya Dan untuk lokasi sangat juga melelahkan karna terbilang jauh Namun tempatnya tidak usah di ragukan lagi;['alasan', 'bagaimananya', 'saya', 'tidak', 'tau', 'tetapi', 'saya', 'sangat', 'menyukainya', 'dan', 'untuk', 'lokasi', 'sangat', 'juga', 'melelahkan', 'karna', 'terbilang', 'jauh', 'namun', 'tempatnya', 'tidak', 'usah', 'di', 'ragukan', 'lagi'];['alasan', 'bagaimananya', 'saya', 'tidak', 'tau', 'tetapi', 'saya', 'sangat', 'menyukainya', 'dan', 'untuk', 'lokasi', 'sangat', 'juga', 'melelahkan', 'karena', 'terbilang', 'jauh', 'namun', 'tempatnya', 'tidak', 'usah', 'di', 'ragukan', 'lagi'];['alasan', 'bagaimananya', 'menyukainya', 'lokasi', 'melelahkan', 'terbilang', 'tempatnya', 'ragukan'];['alas', 'bagaimana', 'suka', 'lokasi', 'lelah', 'bilang', 'tempat', 'ragu']
bukit tinggi daramista;Positif;"Eman g terawat
Ga ada org jualan minum ?? …";Eman g terawat Ga ada org jualan minum;['eman', 'g', 'terawat', 'ga', 'ada', 'org', 'jualan', 'minum'];['eman', 'enggak', 'terawat', 'enggak', 'ada', 'orang', 'jualan', 'minum'];['eman', 'terawat', 'orang', 'jualan', 'minum'];['eman', 'awat', 'orang', 'jual', 'minum']
bukit tinggi daramista;Positif;Bagus sekali;Bagus sekali;['bagus', 'sekali'];['bagus', 'sekali'];['bagus'];['bagus']
bukit tinggi daramista;Negatif;Tiket terlalu mahal  kurang terawat jalananya licin;Tiket terlalu mahal kurang terawat jalananya licin;['tiket', 'terlalu', 'mahal', 'kurang', 'terawat', 'jalananya', 'licin'];['tiket', 'terlalu', 'mahal', 'kurang', 'terawat', 'jalananya', 'licin'];['tiket', 'mahal', 'terawat', 'jalananya', 'licin'];['tiket', 'mahal', 'awat', 'jalananya', 'licin']
bukit tinggi daramista;Negatif;Terlalu mahal untuk destinasi wisata yg hanya seperti itu;Terlalu mahal untuk destinasi wisata yg hanya seperti itu;['terlalu', 'mahal', 'untuk', 'destinasi', 'wisata', 'yg', 'hanya', 'seperti', 'itu'];['terlalu', 'mahal', 'untuk', 'destinasi', 'wisata', 'yang', 'hanya', 'seperti', 'itu'];['mahal', 'destinasi', 'wisata'];['mahal', 'destinasi', 'wisata']
bukit tinggi daramista;Positif;Pernah kesana 4tahun lalu.. Dan tempatnya menakjubkan.;Pernah kesana tahun lalu Dan tempatnya menakjubkan;['pernah', 'kesana', 'tahun', 'lalu', 'dan', 'tempatnya', 'menakjubkan'];['pernah', 'kesana', 'tahun', 'lalu', 'dan', 'tempatnya', 'menakjubkan'];['kesana', 'tempatnya', 'menakjubkan'];['kesana', 'tempat', 'takjub']
bukit tinggi daramista;Positif;Bagus dan bisa lihat pemandangan;Bagus dan bisa lihat pemandangan;['bagus', 'dan', 'bisa', 'lihat', 'pemandangan'];['bagus', 'dan', 'bisa', 'lihat', 'pemandangan'];['bagus', 'lihat', 'pemandangan'];['bagus', 'lihat', 'pandang']
bukit tinggi daramista;Positif;Lumayan bagus pemandangannya;Lumayan bagus pemandangannya;['lumayan', 'bagus', 'pemandangannya'];['lumayan', 'bagus', 'pemandangannya'];['lumayan', 'bagus', 'pemandangannya'];['lumayan', 'bagus', 'pandang']
bukit tinggi daramista;Netral;Bukit tinggi?? …;Bukit tinggi;['bukit', 'tinggi'];['bukit', 'tinggi'];['bukit'];['bukit']
bukit tinggi daramista;Positif;Keren... Asyik, seru, menyenangkan;Keren Asyik seru menyenangkan;['keren', 'asyik', 'seru', 'menyenangkan'];['keren', 'asyik', 'seru', 'menyenangkan'];['keren', 'asyik', 'seru', 'menyenangkan'];['keren', 'asyik', 'seru', 'senang']
bukit tinggi daramista;Positif;Bagus, tapi kurang perawatan;Bagus tapi kurang perawatan;['bagus', 'tapi', 'kurang', 'perawatan'];['bagus', 'tapi', 'kurang', 'perawatan'];['bagus', 'perawatan'];['bagus', 'awat']
bukit tinggi daramista;Positif;bagus;bagus;['bagus'];['bagus'];['bagus'];['bagus']
bukit tinggi daramista;Positif;Tempatnya bagus dan bersih;Tempatnya bagus dan bersih;['tempatnya', 'bagus', 'dan', 'bersih'];['tempatnya', 'bagus', 'dan', 'bersih'];['tempatnya', 'bagus', 'bersih'];['tempat', 'bagus', 'bersih']
bukit tinggi daramista;Positif;Wisata kebanggaan daramista lenteng sumenep;Wisata kebanggaan daramista lenteng sumenep;['wisata', 'kebanggaan', 'daramista', 'lenteng', 'sumenep'];['wisata', 'kebanggaan', 'daramista', 'lenteng', 'sumenep'];['wisata', 'kebanggaan', 'daramista', 'lenteng', 'sumenep'];['wisata', 'bangga', 'daramista', 'lenteng', 'sumenep']
bukit tinggi daramista;Positif;Mohon dilakukan pemeliharaan ulang;Mohon dilakukan pemeliharaan ulang;['mohon', 'dilakukan', 'pemeliharaan', 'ulang'];['mohon', 'dilakukan', 'pemeliharaan', 'ulang'];['mohon', 'pemeliharaan', 'ulang'];['mohon', 'pelihara', 'ulang']
bukit tinggi daramista;Netral;Wisatane orang orang sumenep;Wisatane orang orang sumenep;['wisatane', 'orang', 'orang', 'sumenep'];['wisatane', 'orang', 'orang', 'sumenep'];['wisatane', 'orang', 'orang', 'sumenep'];['wisatane', 'orang', 'orang', 'sumenep']
bukit tinggi daramista;Positif;Bagus tapi kotor;Bagus tapi kotor;['bagus', 'tapi', 'kotor'];['bagus', 'tapi', 'kotor'];['bagus', 'kotor'];['bagus', 'kotor']
bukit tinggi daramista;Positif;Pemandangannya bagus;Pemandangannya bagus;['pemandangannya', 'bagus'];['pemandangannya', 'bagus'];['pemandangannya', 'bagus'];['pandang', 'bagus']
bukit tinggi daramista;Positif;karna sangat bguss;karna sangat bguss;['karna', 'sangat', 'bguss'];['karena', 'sangat', 'bguss'];['bguss'];['bguss']
bukit tinggi daramista;Positif;Bagus...;Bagus;['bagus'];['bagus'];['bagus'];['bagus']
bukit tinggi daramista;Positif;bagus;bagus;['bagus'];['bagus'];['bagus'];['bagus']
bukit tinggi daramista;Positif;Bagussa;Bagussa;['bagussa'];['bagussa'];['bagussa'];['bagussa']
bukit tinggi daramista;Positif;Romantis;Romantis;['romantis'];['romantis'];['romantis'];['romantis']
bukit tinggi daramista;Positif;Sip;Sip;['sip'];['sip'];['sip'];['sip']
bukit tinggi daramista;Positif;Bagus;Bagus;['bagus'];['bagus'];['bagus'];['bagus']
bukit tinggi daramista;Positif;"Tempat yang luar biasa untuk menghirup udara segar, atau hanya untuk berfoto bersama keluarga dan teman.
sangat murah untuk memasuki tempat ini. dan manajemen harus ditingkatkan.";Tempat yang luar biasa untuk menghirup udara segar atau hanya untuk berfoto bersama keluarga dan teman sangat murah untuk memasuki tempat ini dan manajemen harus ditingkatkan;['tempat', 'yang', 'luar', 'biasa', 'untuk', 'menghirup', 'udara', 'segar', 'atau', 'hanya', 'untuk', 'berfoto', 'bersama', 'keluarga', 'dan', 'teman', 'sangat', 'murah', 'untuk', 'memasuki', 'tempat', 'ini', 'dan', 'manajemen', 'harus', 'ditingkatkan'];['tempat', 'yang', 'luar', 'biasa', 'untuk', 'menghirup', 'udara', 'segar', 'atau', 'hanya', 'untuk', 'berfoto', 'bersama', 'keluarga', 'dan', 'teman', 'sangat', 'murah', 'untuk', 'memasuki', 'tempat', 'ini', 'dan', 'manajemen', 'harus', 'ditingkatkan'];['menghirup', 'udara', 'segar', 'berfoto', 'keluarga', 'teman', 'murah', 'memasuki', 'manajemen', 'ditingkatkan'];['hirup', 'udara', 'segar', 'foto', 'keluarga', 'teman', 'murah', 'pasuk', 'manajemen', 'tingkat']
bukit tinggi daramista;Positif;Bukit yang sejuk dan sejuk ?? …;Bukit yang sejuk dan sejuk;['bukit', 'yang', 'sejuk', 'dan', 'sejuk'];['bukit', 'yang', 'sejuk', 'dan', 'sejuk'];['bukit', 'sejuk', 'sejuk'];['bukit', 'sejuk', 'sejuk']
