;index;lokasi;Sentimen;komentar;tokenize;clean;normalize;stopword;stemming
1679;1694;Bukit Jaddhih;Positif;Daya tarik destinasi Wisata Bukit Jaddhih hampir cukup terkenal di kalangan Masyarakat Jawa. Semoga pemerintahan setempat menambah fasilitas hingga Wisata Bukit Jaddih terkenal hingga Mancanegara …;['daya', 'tarik', 'destinasi', 'wisata', 'bukit', 'jaddhih', 'hampir', 'cukup', 'terkenal', 'di', 'kalangan', 'masyarakat', 'jawa', 'semoga', 'pemerintahan', 'setempat', 'menambah', 'fasilitas', 'hingga', 'wisata', 'bukit', 'jaddih', 'terkenal', 'hingga', 'mancanegara', '…'];['daya', 'tarik', 'destinasi', 'wisata', 'bukit', 'jaddhih', 'hampir', 'cukup', 'terkenal', 'di', 'kalangan', 'masyarakat', 'jawa', 'semoga', 'pemerintahan', 'setempat', 'menambah', 'fasilitas', 'hingga', 'wisata', 'bukit', 'jaddih', 'terkenal', 'hingga', 'mancanegara', ''];['daya', 'tarik', 'destinasi', 'wisata', 'bukit', 'jaddhih', 'hampir', 'cukup', 'terkenal', 'di', 'kalangan', 'masyarakat', 'jawa', 'semoga', 'pemerintahan', 'setempat', 'menambah', 'fasilitas', 'hingga', 'wisata', 'bukit', 'jaddih', 'terkenal', 'hingga', 'mancanegara', ''];['daya', 'tarik', 'destinasi', 'wisata', 'bukit', 'jaddhih', 'terkenal', 'kalangan', 'masyarakat', 'jawa', 'semoga', 'pemerintahan', 'menambah', 'fasilitas', 'wisata', 'bukit', 'jaddih', 'terkenal', 'mancanegara', ''];['daya', 'tarik', 'destinasi', 'wisata', 'bukit', 'jaddhih', 'kenal', 'kalang', 'masyarakat', 'jawa', 'moga', 'perintah', 'tambah', 'fasilitas', 'wisata', 'bukit', 'jaddih', 'kenal', 'mancanegara', '']
1680;1695;Bukit Jaddhih;Positif;tempat bagus buat foto. klo dijogja mirip tebing breksi tp disini lebih besar. karna dibuka belom lama masih dalam penataan wisata. ada kolam renang juga. parkir luas, kita pake bus besar bisa sampe lokasi tidak perlu jalan jauh. tp sayang …;['tempat', 'bagus', 'buat', 'foto', 'klo', 'dijogja', 'mirip', 'tebing', 'breksi', 'tp', 'disini', 'lebih', 'besar', 'karna', 'dibuka', 'belom', 'lama', 'masih', 'dalam', 'penataan', 'wisata', 'ada', 'kolam', 'renang', 'juga', 'parkir', 'luas', 'kita', 'pake', 'bus', 'besar', 'bisa', 'sampe', 'lokasi', 'tidak', 'perlu', 'jalan', 'jauh', 'tp', 'sayang', '…'];['tempat', 'bagus', 'buat', 'foto', 'klo', 'dijogja', 'mirip', 'tebing', 'breksi', 'tp', 'disini', 'lebih', 'besar', 'karna', 'dibuka', 'belom', 'lama', 'masih', 'dalam', 'penataan', 'wisata', 'ada', 'kolam', 'renang', 'juga', 'parkir', 'luas', 'kita', 'pake', 'bus', 'besar', 'bisa', 'sampe', 'lokasi', 'tidak', 'perlu', 'jalan', 'jauh', 'tp', 'sayang', ''];['tempat', 'bagus', 'buat', 'foto', 'kalo', 'dijogja', 'mirip', 'tebing', 'breksi', 'tapi', 'disini', 'lebih', 'besar', 'karena', 'dibuka', 'belum', 'lama', 'masih', 'dalam', 'penataan', 'wisata', 'ada', 'kolam', 'renang', 'juga', 'parkir', 'luas', 'kita', 'pakai', 'bus', 'besar', 'bisa', 'sampai', 'lokasi', 'tidak', 'perlu', 'jalan', 'jauh', 'tapi', 'sayang', ''];['bagus', 'foto', 'dijogja', 'tebing', 'breksi', 'dibuka', 'penataan', 'wisata', 'kolam', 'renang', 'parkir', 'luas', 'pakai', 'bus', 'lokasi', 'jalan', 'sayang', ''];['bagus', 'foto', 'dijogja', 'tebing', 'breksi', 'buka', 'tata', 'wisata', 'kolam', 'renang', 'parkir', 'luas', 'pakai', 'bus', 'lokasi', 'jalan', 'sayang', '']
1681;1696;Bukit Jaddhih;Positif;Lokasi bekas penambangan yg kemudian dijadikan spot foto, jalan menuju bukit jaddih lumayan susah, lebih disarankan untuk menggunakan kendaraan roda dua. Harus pandai-pandai untuk mengambil angel foto utk menghasilkan foto yang Ok punya...;['lokasi', 'bekas', 'penambangan', 'yg', 'kemudian', 'dijadikan', 'spot', 'foto', 'jalan', 'menuju', 'bukit', 'jaddih', 'lumayan', 'susah', 'lebih', 'disarankan', 'untuk', 'menggunakan', 'kendaraan', 'roda', 'dua', 'harus', 'pandaipandai', 'untuk', 'mengambil', 'angel', 'foto', 'utk', 'menghasilkan', 'foto', 'yang', 'ok', 'punya'];['lokasi', 'bekas', 'penambangan', 'yg', 'kemudian', 'dijadikan', 'spot', 'foto', 'jalan', 'menuju', 'bukit', 'jaddih', 'lumayan', 'susah', 'lebih', 'disarankan', 'untuk', 'menggunakan', 'kendaraan', 'roda', 'dua', 'harus', 'pandaipandai', 'untuk', 'mengambil', 'angel', 'foto', 'utk', 'menghasilkan', 'foto', 'yang', 'ok', 'punya'];['lokasi', 'bekas', 'penambangan', 'yang', 'kemudian', 'dijadikan', 'spot', 'foto', 'jalan', 'menuju', 'bukit', 'jaddih', 'lumayan', 'susah', 'lebih', 'disarankan', 'untuk', 'menggunakan', 'kendaraan', 'roda', 'dua', 'harus', 'pandaipandai', 'untuk', 'mengambil', 'angel', 'foto', 'untuk', 'menghasilkan', 'foto', 'yang', 'ok', 'punya'];['lokasi', 'bekas', 'penambangan', 'dijadikan', 'spot', 'foto', 'jalan', 'bukit', 'jaddih', 'lumayan', 'susah', 'disarankan', 'kendaraan', 'roda', 'pandaipandai', 'mengambil', 'angel', 'foto', 'menghasilkan', 'foto', 'ok'];['lokasi', 'bekas', 'tambang', 'jadi', 'spot', 'foto', 'jalan', 'bukit', 'jaddih', 'lumayan', 'susah', 'saran', 'kendara', 'roda', 'pandaipandai', 'ambil', 'angel', 'foto', 'hasil', 'foto', 'ok']
1682;1697;Bukit Jaddhih;Positif;Kalau mau ke tempat ini jangan siang karena sangat panas, mending sore sekalian liat sunset karena begitu bagus dan istimewa. Jalanan menuju tempat ini bisa pake gmaps, tapi jalanan kecil sempit dan banyak yang rusak, sebenarnya disini cuma …;['kalau', 'mau', 'ke', 'tempat', 'ini', 'jangan', 'siang', 'karena', 'sangat', 'panas', 'mending', 'sore', 'sekalian', 'liat', 'sunset', 'karena', 'begitu', 'bagus', 'dan', 'istimewa', 'jalanan', 'menuju', 'tempat', 'ini', 'bisa', 'pake', 'gmaps', 'tapi', 'jalanan', 'kecil', 'sempit', 'dan', 'banyak', 'yang', 'rusak', 'sebenarnya', 'disini', 'cuma', '…'];['kalau', 'mau', 'ke', 'tempat', 'ini', 'jangan', 'siang', 'karena', 'sangat', 'panas', 'mending', 'sore', 'sekalian', 'liat', 'sunset', 'karena', 'begitu', 'bagus', 'dan', 'istimewa', 'jalanan', 'menuju', 'tempat', 'ini', 'bisa', 'pake', 'gmaps', 'tapi', 'jalanan', 'kecil', 'sempit', 'dan', 'banyak', 'yang', 'rusak', 'sebenarnya', 'disini', 'cuma', ''];['kalau', 'mau', 'ke', 'tempat', 'ini', 'jangan', 'siang', 'karena', 'sangat', 'panas', 'mending', 'sore', 'sekalian', 'lihat', 'sunset', 'karena', 'begitu', 'bagus', 'dan', 'istimewa', 'jalanan', 'menuju', 'tempat', 'ini', 'bisa', 'pakai', 'gmaps', 'tapi', 'jalanan', 'kecil', 'sempit', 'dan', 'banyak', 'yang', 'rusak', 'sebenarnya', 'disini', 'cuma', ''];['siang', 'panas', 'mending', 'sore', 'lihat', 'sunset', 'bagus', 'istimewa', 'jalanan', 'pakai', 'gmaps', 'jalanan', 'sempit', 'rusak', ''];['siang', 'panas', 'mending', 'sore', 'lihat', 'sunset', 'bagus', 'istimewa', 'jalan', 'pakai', 'gmaps', 'jalan', 'sempit', 'rusak', '']
1683;1698;Bukit Jaddhih;Positif;Lokasinya tidak jauh dr Jembatan Suramadu, ± 20 menit perjalanan menggunakan mobil / motor. Harga tiket masuk terjangkau. Ada kolam renang, Goa & Rakit mengarungi danau mini. Sangat layak anda kunjungi..;['lokasinya', 'tidak', 'jauh', 'dr', 'jembatan', 'suramadu', '±', '20', 'menit', 'perjalanan', 'menggunakan', 'mobil', 'motor', 'harga', 'tiket', 'masuk', 'terjangkau', 'ada', 'kolam', 'renang', 'goa', 'rakit', 'mengarungi', 'danau', 'mini', 'sangat', 'layak', 'anda', 'kunjungi'];['lokasinya', 'tidak', 'jauh', 'dr', 'jembatan', 'suramadu', '', '', 'menit', 'perjalanan', 'menggunakan', 'mobil', 'motor', 'harga', 'tiket', 'masuk', 'terjangkau', 'ada', 'kolam', 'renang', 'goa', 'rakit', 'mengarungi', 'danau', 'mini', 'sangat', 'layak', 'anda', 'kunjungi'];['lokasinya', 'tidak', 'jauh', 'dari', 'jembatan', 'suramadu', '', '', 'menit', 'perjalanan', 'menggunakan', 'mobil', 'motor', 'harga', 'tiket', 'masuk', 'terjangkau', 'ada', 'kolam', 'renang', 'goa', 'rakit', 'mengarungi', 'danau', 'mini', 'sangat', 'layak', 'anda', 'kunjungi'];['lokasinya', 'jembatan', 'suramadu', '', '', 'menit', 'perjalanan', 'mobil', 'motor', 'harga', 'tiket', 'masuk', 'terjangkau', 'kolam', 'renang', 'goa', 'rakit', 'mengarungi', 'danau', 'mini', 'layak', 'kunjungi'];['lokasi', 'jembatan', 'suramadu', '', '', 'menit', 'jalan', 'mobil', 'motor', 'harga', 'tiket', 'masuk', 'jangkau', 'kolam', 'renang', 'goa', 'rakit', 'arung', 'danau', 'mini', 'layak', 'kunjung']
1684;1699;Bukit Jaddhih;Positif;Tempat nya cakep dan indah, akses masuk susah, jalan rusak, banyak tarikan pungli, tempat berdebu (serbuk kapur), akses jalan cukup berbahaya karena tidak ada jalur pejalan kaki dan pegangan;['tempat', 'nya', 'cakep', 'dan', 'indah', 'akses', 'masuk', 'susah', 'jalan', 'rusak', 'banyak', 'tarikan', 'pungli', 'tempat', 'berdebu', 'serbuk', 'kapur', 'akses', 'jalan', 'cukup', 'berbahaya', 'karena', 'tidak', 'ada', 'jalur', 'pejalan', 'kaki', 'dan', 'pegangan'];['tempat', 'nya', 'cakep', 'dan', 'indah', 'akses', 'masuk', 'susah', 'jalan', 'rusak', 'banyak', 'tarikan', 'pungli', 'tempat', 'berdebu', 'serbuk', 'kapur', 'akses', 'jalan', 'cukup', 'berbahaya', 'karena', 'tidak', 'ada', 'jalur', 'pejalan', 'kaki', 'dan', 'pegangan'];['tempat', 'nya', 'cakep', 'dan', 'indah', 'akses', 'masuk', 'susah', 'jalan', 'rusak', 'banyak', 'tarikan', 'pungli', 'tempat', 'berdebu', 'serbuk', 'kapur', 'akses', 'jalan', 'cukup', 'berbahaya', 'karena', 'tidak', 'ada', 'jalur', 'pejalan', 'kaki', 'dan', 'pegangan'];['cakep', 'indah', 'akses', 'masuk', 'susah', 'jalan', 'rusak', 'tarikan', 'pungli', 'berdebu', 'serbuk', 'kapur', 'akses', 'jalan', 'berbahaya', 'jalur', 'pejalan', 'kaki', 'pegangan'];['cakep', 'indah', 'akses', 'masuk', 'susah', 'jalan', 'rusak', 'tari', 'pungli', 'debu', 'serbuk', 'kapur', 'akses', 'jalan', 'bahaya', 'jalur', 'pejal', 'kaki', 'pegang']
1685;1700;Bukit Jaddhih;Positif;"Bukit kapur yang menjadi wisata dan bisa menjadikan Bangkalan semakin terkenal!

Seperti selayaknya suasana bukit Kapur pada umumnya yang berdebu, terik panas …";['bukit', 'kapur', 'yang', 'menjadi', 'wisata', 'dan', 'bisa', 'menjadikan', 'bangkalan', 'semakin', 'terkenal', 'seperti', 'selayaknya', 'suasana', 'bukit', 'kapur', 'pada', 'umumnya', 'yang', 'berdebu', 'terik', 'panas', '…'];['bukit', 'kapur', 'yang', 'menjadi', 'wisata', 'dan', 'bisa', 'menjadikan', 'bangkalan', 'semakin', 'terkenal', 'seperti', 'selayaknya', 'suasana', 'bukit', 'kapur', 'pada', 'umumnya', 'yang', 'berdebu', 'terik', 'panas', ''];['bukit', 'kapur', 'yang', 'menjadi', 'wisata', 'dan', 'bisa', 'menjadikan', 'bangkalan', 'semakin', 'terkenal', 'seperti', 'selayaknya', 'suasana', 'bukit', 'kapur', 'pada', 'umumnya', 'yang', 'berdebu', 'terik', 'panas', ''];['bukit', 'kapur', 'wisata', 'menjadikan', 'bangkalan', 'terkenal', 'selayaknya', 'suasana', 'bukit', 'kapur', 'berdebu', 'terik', 'panas', ''];['bukit', 'kapur', 'wisata', 'jadi', 'bangkal', 'kenal', 'layak', 'suasana', 'bukit', 'kapur', 'debu', 'terik', 'panas', '']
1686;1701;Bukit Jaddhih;Positif;Takjud dengan segala yang diciptakan oleh-Nya. Bukit Jaddih merupakan destinasi wisata di Kabupaten Bangkalan Madura. Pemandangannya memang beda dari tempat wisata pada umumnya. …;['takjud', 'dengan', 'segala', 'yang', 'diciptakan', 'olehnya', 'bukit', 'jaddih', 'merupakan', 'destinasi', 'wisata', 'di', 'kabupaten', 'bangkalan', 'madura', 'pemandangannya', 'memang', 'beda', 'dari', 'tempat', 'wisata', 'pada', 'umumnya', '…'];['takjud', 'dengan', 'segala', 'yang', 'diciptakan', 'olehnya', 'bukit', 'jaddih', 'merupakan', 'destinasi', 'wisata', 'di', 'kabupaten', 'bangkalan', 'madura', 'pemandangannya', 'memang', 'beda', 'dari', 'tempat', 'wisata', 'pada', 'umumnya', ''];['takjud', 'dengan', 'segala', 'yang', 'diciptakan', 'olehnya', 'bukit', 'jaddih', 'merupakan', 'destinasi', 'wisata', 'di', 'kabupaten', 'bangkalan', 'madura', 'pemandangannya', 'memang', 'beda', 'dari', 'tempat', 'wisata', 'pada', 'umumnya', ''];['takjud', 'diciptakan', 'bukit', 'jaddih', 'destinasi', 'wisata', 'kabupaten', 'bangkalan', 'madura', 'pemandangannya', 'beda', 'wisata', ''];['takjud', 'cipta', 'bukit', 'jaddih', 'destinasi', 'wisata', 'kabupaten', 'bangkal', 'madura', 'pandang', 'beda', 'wisata', '']
1687;1702;Bukit Jaddhih;Positif;Bukit kapur yang apik, sayangnya kurangnya koordinasi para penjaga and parkir... Harusnya kalau sudah berani kasih tiket masuk. Pelayanan untuk wisata lebih baik ditingkatkan dan pemisahan dengan daerah tambanganya di pertimbangkan. Bagus banget buat foto2 😍 …;['bukit', 'kapur', 'yang', 'apik', 'sayangnya', 'kurangnya', 'koordinasi', 'para', 'penjaga', 'and', 'parkir', 'harusnya', 'kalau', 'sudah', 'berani', 'kasih', 'tiket', 'masuk', 'pelayanan', 'untuk', 'wisata', 'lebih', 'baik', 'ditingkatkan', 'dan', 'pemisahan', 'dengan', 'daerah', 'tambanganya', 'di', 'pertimbangkan', 'bagus', 'banget', 'buat', 'foto2', '😍', '…'];['bukit', 'kapur', 'yang', 'apik', 'sayangnya', 'kurangnya', 'koordinasi', 'para', 'penjaga', 'and', 'parkir', 'harusnya', 'kalau', 'sudah', 'berani', 'kasih', 'tiket', 'masuk', 'pelayanan', 'untuk', 'wisata', 'lebih', 'baik', 'ditingkatkan', 'dan', 'pemisahan', 'dengan', 'daerah', 'tambanganya', 'di', 'pertimbangkan', 'bagus', 'banget', 'buat', 'foto', '', ''];['bukit', 'kapur', 'yang', 'apik', 'sayangnya', 'kurangnya', 'koordinasi', 'para', 'penjaga', 'and', 'parkir', 'harusnya', 'kalau', 'sudah', 'berani', 'kasih', 'tiket', 'masuk', 'pelayanan', 'untuk', 'wisata', 'lebih', 'baik', 'ditingkatkan', 'dan', 'pemisahan', 'dengan', 'daerah', 'tambanganya', 'di', 'pertimbangkan', 'bagus', 'banget', 'buat', 'foto', '', ''];['bukit', 'kapur', 'apik', 'sayangnya', 'kurangnya', 'koordinasi', 'penjaga', 'and', 'parkir', 'berani', 'kasih', 'tiket', 'masuk', 'pelayanan', 'wisata', 'ditingkatkan', 'pemisahan', 'daerah', 'tambanganya', 'pertimbangkan', 'bagus', 'banget', 'foto', '', ''];['bukit', 'kapur', 'apik', 'sayang', 'kurang', 'koordinasi', 'jaga', 'and', 'parkir', 'berani', 'kasih', 'tiket', 'masuk', 'layan', 'wisata', 'tingkat', 'pisah', 'daerah', 'tambanganya', 'timbang', 'bagus', 'banget', 'foto', '', '']
1688;1703;Bukit Jaddhih;Positif;Untuk rekreasi keluarga sangat oke, ada kolam renangnya, dg view bukit bekas galian batu kapur yg disulap menjadi destinasi wisata outdoor. Parkir luas, kendaraan bisa naik ke atas bukit terus untuk selfie2.;['untuk', 'rekreasi', 'keluarga', 'sangat', 'oke', 'ada', 'kolam', 'renangnya', 'dg', 'view', 'bukit', 'bekas', 'galian', 'batu', 'kapur', 'yg', 'disulap', 'menjadi', 'destinasi', 'wisata', 'outdoor', 'parkir', 'luas', 'kendaraan', 'bisa', 'naik', 'ke', 'atas', 'bukit', 'terus', 'untuk', 'selfie2'];['untuk', 'rekreasi', 'keluarga', 'sangat', 'oke', 'ada', 'kolam', 'renangnya', 'dg', 'view', 'bukit', 'bekas', 'galian', 'batu', 'kapur', 'yg', 'disulap', 'menjadi', 'destinasi', 'wisata', 'outdoor', 'parkir', 'luas', 'kendaraan', 'bisa', 'naik', 'ke', 'atas', 'bukit', 'terus', 'untuk', 'selfie'];['untuk', 'rekreasi', 'keluarga', 'sangat', 'oke', 'ada', 'kolam', 'renangnya', 'dengan', 'view', 'bukit', 'bekas', 'galian', 'batu', 'kapur', 'yang', 'disulap', 'menjadi', 'destinasi', 'wisata', 'outdoor', 'parkir', 'luas', 'kendaraan', 'bisa', 'naik', 'ke', 'atas', 'bukit', 'terus', 'untuk', 'selfie'];['rekreasi', 'keluarga', 'oke', 'kolam', 'renangnya', 'view', 'bukit', 'bekas', 'galian', 'batu', 'kapur', 'disulap', 'destinasi', 'wisata', 'outdoor', 'parkir', 'luas', 'kendaraan', 'bukit', 'selfie'];['rekreasi', 'keluarga', 'oke', 'kolam', 'renang', 'view', 'bukit', 'bekas', 'gali', 'batu', 'kapur', 'sulap', 'destinasi', 'wisata', 'outdoor', 'parkir', 'luas', 'kendara', 'bukit', 'selfie']
1689;1704;Bukit Jaddhih;Positif;Bukit Jaddih terletak tidak jauh dari pusat kota Bangkalan.  Cuaca di sini sangat terik, jangan lupa membawa topi atau payung tetapi bukit kapur yang unik ini merupakan spot foto yang sangat menarik.  Kontribusi untuk masuk ke lokasi ini juga lumayan murah.;['bukit', 'jaddih', 'terletak', 'tidak', 'jauh', 'dari', 'pusat', 'kota', 'bangkalan', 'cuaca', 'di', 'sini', 'sangat', 'terik', 'jangan', 'lupa', 'membawa', 'topi', 'atau', 'payung', 'tetapi', 'bukit', 'kapur', 'yang', 'unik', 'ini', 'merupakan', 'spot', 'foto', 'yang', 'sangat', 'menarik', 'kontribusi', 'untuk', 'masuk', 'ke', 'lokasi', 'ini', 'juga', 'lumayan', 'murah'];['bukit', 'jaddih', 'terletak', 'tidak', 'jauh', 'dari', 'pusat', 'kota', 'bangkalan', 'cuaca', 'di', 'sini', 'sangat', 'terik', 'jangan', 'lupa', 'membawa', 'topi', 'atau', 'payung', 'tetapi', 'bukit', 'kapur', 'yang', 'unik', 'ini', 'merupakan', 'spot', 'foto', 'yang', 'sangat', 'menarik', 'kontribusi', 'untuk', 'masuk', 'ke', 'lokasi', 'ini', 'juga', 'lumayan', 'murah'];['bukit', 'jaddih', 'terletak', 'tidak', 'jauh', 'dari', 'pusat', 'kota', 'bangkalan', 'cuaca', 'di', 'sini', 'sangat', 'terik', 'jangan', 'lupa', 'membawa', 'topi', 'atau', 'payung', 'tetapi', 'bukit', 'kapur', 'yang', 'unik', 'ini', 'merupakan', 'spot', 'foto', 'yang', 'sangat', 'menarik', 'kontribusi', 'untuk', 'masuk', 'ke', 'lokasi', 'ini', 'juga', 'lumayan', 'murah'];['bukit', 'jaddih', 'terletak', 'pusat', 'kota', 'bangkalan', 'cuaca', 'terik', 'lupa', 'membawa', 'topi', 'payung', 'bukit', 'kapur', 'unik', 'spot', 'foto', 'menarik', 'kontribusi', 'masuk', 'lokasi', 'lumayan', 'murah'];['bukit', 'jaddih', 'letak', 'pusat', 'kota', 'bangkal', 'cuaca', 'terik', 'lupa', 'bawa', 'topi', 'payung', 'bukit', 'kapur', 'unik', 'spot', 'foto', 'tarik', 'kontribusi', 'masuk', 'lokasi', 'lumayan', 'murah']
1690;1705;Bukit Jaddhih;Positif;Tempatnya bagus buat foto tapi saran aja klo mau kesana jangan siang² panas bgt soalnya, trus untuk karcis kalo bisa dijadikan satu aja di awal biar gak bolak balik bayar,;['tempatnya', 'bagus', 'buat', 'foto', 'tapi', 'saran', 'aja', 'klo', 'mau', 'kesana', 'jangan', 'siang²', 'panas', 'bgt', 'soalnya', 'trus', 'untuk', 'karcis', 'kalo', 'bisa', 'dijadikan', 'satu', 'aja', 'di', 'awal', 'biar', 'gak', 'bolak', 'balik', 'bayar'];['tempatnya', 'bagus', 'buat', 'foto', 'tapi', 'saran', 'aja', 'klo', 'mau', 'kesana', 'jangan', 'siang', 'panas', 'bgt', 'soalnya', 'trus', 'untuk', 'karcis', 'kalo', 'bisa', 'dijadikan', 'satu', 'aja', 'di', 'awal', 'biar', 'gak', 'bolak', 'balik', 'bayar'];['tempatnya', 'bagus', 'buat', 'foto', 'tapi', 'saran', 'saja', 'kalo', 'mau', 'kesana', 'jangan', 'siang', 'panas', 'banget', 'soalnya', 'terus', 'untuk', 'karcis', 'kalo', 'bisa', 'dijadikan', 'satu', 'saja', 'di', 'awal', 'biar', 'enggak', 'bolak', 'balik', 'bayar'];['tempatnya', 'bagus', 'foto', 'saran', 'kesana', 'siang', 'panas', 'banget', 'karcis', 'dijadikan', 'bolak', 'bayar'];['tempat', 'bagus', 'foto', 'saran', 'kesana', 'siang', 'panas', 'banget', 'karcis', 'jadi', 'bolak', 'bayar']
1691;1706;Bukit Jaddhih;Positif;"Tempatnya di Bangkalan
Tempat indah walau hanya bekas galian batu bata, enak buat rekreasi berdua atau rombongan. Ada kolam renang dan Tiket Masuk murah. Kalo cuaca panas enak pake kacamata dan penutup hidung.";['tempatnya', 'di', 'bangkalan', 'tempat', 'indah', 'walau', 'hanya', 'bekas', 'galian', 'batu', 'bata', 'enak', 'buat', 'rekreasi', 'berdua', 'atau', 'rombongan', 'ada', 'kolam', 'renang', 'dan', 'tiket', 'masuk', 'murah', 'kalo', 'cuaca', 'panas', 'enak', 'pake', 'kacamata', 'dan', 'penutup', 'hidung'];['tempatnya', 'di', 'bangkalan', 'tempat', 'indah', 'walau', 'hanya', 'bekas', 'galian', 'batu', 'bata', 'enak', 'buat', 'rekreasi', 'berdua', 'atau', 'rombongan', 'ada', 'kolam', 'renang', 'dan', 'tiket', 'masuk', 'murah', 'kalo', 'cuaca', 'panas', 'enak', 'pake', 'kacamata', 'dan', 'penutup', 'hidung'];['tempatnya', 'di', 'bangkalan', 'tempat', 'indah', 'walau', 'hanya', 'bekas', 'galian', 'batu', 'bata', 'enak', 'buat', 'rekreasi', 'berdua', 'atau', 'rombongan', 'ada', 'kolam', 'renang', 'dan', 'tiket', 'masuk', 'murah', 'kalo', 'cuaca', 'panas', 'enak', 'pakai', 'kacamata', 'dan', 'penutup', 'hidung'];['tempatnya', 'bangkalan', 'indah', 'bekas', 'galian', 'batu', 'bata', 'enak', 'rekreasi', 'berdua', 'rombongan', 'kolam', 'renang', 'tiket', 'masuk', 'murah', 'cuaca', 'panas', 'enak', 'pakai', 'kacamata', 'penutup', 'hidung'];['tempat', 'bangkal', 'indah', 'bekas', 'gali', 'batu', 'bata', 'enak', 'rekreasi', 'dua', 'rombong', 'kolam', 'renang', 'tiket', 'masuk', 'murah', 'cuaca', 'panas', 'enak', 'pakai', 'kacamata', 'tutup', 'hidung']
1692;1707;Bukit Jaddhih;Positif;Tempat rekreasi ya lumayan murah meriah.akses jalan tergolong sedang sebab masih ada yg belum aspal.kalau tempat rekreasi ya tergantung penikmat nya kalau suka alam ya pasti klik ni tempat nya.tiket masuk tempat rekreasi 15 ribu.tiket masuk …;['tempat', 'rekreasi', 'ya', 'lumayan', 'murah', 'meriahakses', 'jalan', 'tergolong', 'sedang', 'sebab', 'masih', 'ada', 'yg', 'belum', 'aspalkalau', 'tempat', 'rekreasi', 'ya', 'tergantung', 'penikmat', 'nya', 'kalau', 'suka', 'alam', 'ya', 'pasti', 'klik', 'ni', 'tempat', 'nyatiket', 'masuk', 'tempat', 'rekreasi', '15', 'ributiket', 'masuk', '…'];['tempat', 'rekreasi', 'ya', 'lumayan', 'murah', 'meriahakses', 'jalan', 'tergolong', 'sedang', 'sebab', 'masih', 'ada', 'yg', 'belum', 'aspalkalau', 'tempat', 'rekreasi', 'ya', 'tergantung', 'penikmat', 'nya', 'kalau', 'suka', 'alam', 'ya', 'pasti', 'klik', 'ni', 'tempat', 'nyatiket', 'masuk', 'tempat', 'rekreasi', '', 'ributiket', 'masuk', ''];['tempat', 'rekreasi', 'ya', 'lumayan', 'murah', 'meriahakses', 'jalan', 'tergolong', 'sedang', 'sebab', 'masih', 'ada', 'yang', 'belum', 'aspalkalau', 'tempat', 'rekreasi', 'ya', 'tergantung', 'penikmat', 'nya', 'kalau', 'suka', 'alam', 'ya', 'pasti', 'klik', 'nih', 'tempat', 'nyatiket', 'masuk', 'tempat', 'rekreasi', '', 'ributiket', 'masuk', ''];['rekreasi', 'lumayan', 'murah', 'meriahakses', 'jalan', 'tergolong', 'aspalkalau', 'rekreasi', 'tergantung', 'penikmat', 'suka', 'alam', 'klik', 'nyatiket', 'masuk', 'rekreasi', '', 'ributiket', 'masuk', ''];['rekreasi', 'lumayan', 'murah', 'meriahakses', 'jalan', 'golong', 'aspalkalau', 'rekreasi', 'gantung', 'nikmat', 'suka', 'alam', 'klik', 'nyatiket', 'masuk', 'rekreasi', '', 'ributiket', 'masuk', '']
1693;1708;Bukit Jaddhih;Positif;Pastinya panas banget, tapi kalo udah masuk banyak spot foto bagus. Entah kenapa, waktu ke situ tidak ada pengunjung dan seperti sudah lama tidak dikelola lagi. Banyak fasilitas dan warung-warung terbengkalai.;['pastinya', 'panas', 'banget', 'tapi', 'kalo', 'udah', 'masuk', 'banyak', 'spot', 'foto', 'bagus', 'entah', 'kenapa', 'waktu', 'ke', 'situ', 'tidak', 'ada', 'pengunjung', 'dan', 'seperti', 'sudah', 'lama', 'tidak', 'dikelola', 'lagi', 'banyak', 'fasilitas', 'dan', 'warungwarung', 'terbengkalai'];['pastinya', 'panas', 'banget', 'tapi', 'kalo', 'udah', 'masuk', 'banyak', 'spot', 'foto', 'bagus', 'entah', 'kenapa', 'waktu', 'ke', 'situ', 'tidak', 'ada', 'pengunjung', 'dan', 'seperti', 'sudah', 'lama', 'tidak', 'dikelola', 'lagi', 'banyak', 'fasilitas', 'dan', 'warungwarung', 'terbengkalai'];['pastinya', 'panas', 'banget', 'tapi', 'kalo', 'sudah', 'masuk', 'banyak', 'spot', 'foto', 'bagus', 'entah', 'kenapa', 'waktu', 'ke', 'situ', 'tidak', 'ada', 'pengunjung', 'dan', 'seperti', 'sudah', 'lama', 'tidak', 'dikelola', 'lagi', 'banyak', 'fasilitas', 'dan', 'warungwarung', 'terbengkalai'];['pastinya', 'panas', 'banget', 'masuk', 'spot', 'foto', 'bagus', 'situ', 'pengunjung', 'dikelola', 'fasilitas', 'warungwarung', 'terbengkalai'];['pasti', 'panas', 'banget', 'masuk', 'spot', 'foto', 'bagus', 'situ', 'unjung', 'kelola', 'fasilitas', 'warungwarung', 'bengkalai']
